cvt,velocidade,rpm
26.61,0,"RPM
"
26.23,0,"RPM
"
26.29,0,"RPM
"
26.17,10,"RPM
"
26.29,1,"RPM
"
26.27,15,"RPM
"
26.29,13,"RPM
"
26.15,18,"RPM
"
26.37,15,"RPM
"
26.29,18,"RPM
"
26.27,19,"RPM
"
26.27,19,"RPM
"
26.15,19,"RPM
"
26.03,18,"RPM
"
25.99,19,"RPM
"
25.97,16,"RPM
"
25.97,7,"RPM
"
25.93,19,"RPM
"
25.91,19,"RPM
"
25.85,4,"RPM
"
25.91,0,"RPM
"
26.03,0,"RPM
"
26.09,15,"RPM
"
26.17,15,"RPM
"
26.23,17,"RPM
"
26.27,18,"RPM
"
26.05,17,"RPM
"
26.23,18,"RPM
"
26.23,11,"RPM
"
26.03,19,"RPM
"
25.87,18,"RPM
"
25.85,14,"RPM
"
26.03,16,"RPM
"
26.21,18,"RPM
"
177.01,14,"RPM
"
303.87,14,"RPM
"
188.89,14,"RPM
"
214.53,14,"RPM
"
202.63,14,"RPM
"
38.87,8,"RPM
"
29.29,7,"RPM
"
27.17,15,"RPM
"
26.61,16,"RPM
"
26.15,17,"RPM
"
26.03,19,"RPM
"
26.03,19,"RPM
"
26.03,19,"RPM
"
26.23,19,"RPM
"
26.53,19,"RPM
"
26.55,19,"RPM
"
26.61,19,"RPM
"
26.71,19,"RPM
"
26.55,19,"RPM
"
26.55,19,"RPM
"
26.21,18,"RPM
"
26.11,12,"RPM
"
26.15,10,"RPM
"
26.17,11,"RPM
"
26.41,9,"RPM
"
26.43,8,"RPM
"
26.59,8,"RPM
"
26.53,8,"RPM
"
26.49,8,"RPM
"
26.47,7,"RPM
"
26.41,3,"RPM
"
26.29,2,"RPM
"
26.35,4,"RPM
"
26.41,1,"RPM
"
26.41,2,"RPM
"
26.37,1,"RPM
"
26.53,2,"RPM
"
26.53,2,"RPM
"
26.17,2,"RPM
"
25.99,3,"RPM
"
26.29,2,"RPM
"
26.73,0,"RPM
"
